question,generated_sql
How many people are enrolled in CalFresh?," 
SELECT 
  fileyear,
  Number,
  CalFresh
FROM `cdii-poc.HHS_Program_Counts.calhhs-dashboard-2015-2020-annual-data-file`
WHERE 
  Program = ""CalFresh"";
"
How many of them live in Los Angeles County?," 
SELECT 
  SUM(CAST(Count AS INT64)) AS total_births
FROM cdii-poc.HHS_Program_Counts.`20230912_births_final_county_month_sup`
WHERE 
  County = 'Los Angeles'
  AND Geography_Type = 'Residence';
"
How has participation in CalFresh changed since 2015?," 
SELECT
  fileyear,
  SUM(CAST(Person AS INT64)) AS total_enrolled
FROM `cdii-poc.HHS_Program_Counts.calhhs-dashboard-2015-2020-annual-data-file`
WHERE
  Program = ""CalFresh""
GROUP BY
  fileyear
ORDER BY
  fileyear;
"
How do CalFresh program participation trends differ by race and ethnicity?," 
SELECT
  fileyear,
  COALESCE(SUM(White), 0) AS White,
  COALESCE(SUM(Black), 0) AS Black,
  COALESCE(SUM(Hispanic), 0) AS Hispanic,
  COALESCE(SUM(Asian_PI), 0) AS Asian_PI,
  COALESCE(SUM(Native_American), 0) AS Native_American
FROM `cdii-poc.HHS_Program_Counts.calhhs-dashboard-2015-2020-annual-data-file`
WHERE
  Program = 'CalFresh'
GROUP BY
  fileyear
ORDER BY
  fileyear;
"
How have these race and ethnicity trends changed over time?,SQL not generated
Which county has the greatest proportion of CalFresh recipients co-enrolled in at least one additional program?," 
SELECT Number AS county, 
       COALESCE(SUM(CAST(Person AS INT64)), 0) AS total_calfresh_recipients,
       COALESCE(SUM(CAST(_2_programs AS INT64)), 0) AS calfresh_coenrolled_in_2_programs,
       COALESCE(SUM(CAST(_3_programs AS INT64)), 0) AS calfresh_coenrolled_in_3_programs,
       COALESCE(SUM(CAST(_4_programs AS INT64)), 0) AS calfresh_coenrolled_in_4_programs,
       COALESCE(SUM(CAST(_5__programs AS INT64)), 0) AS calfresh_coenrolled_in_5_programs,
       (COALESCE(SUM(CAST(_2_programs AS INT64)), 0) + 
        COALESCE(SUM(CAST(_3_programs AS INT64)), 0) + 
        COALESCE(SUM(CAST(_4_programs AS INT64)), 0) + 
        COALESCE(SUM(CAST(_5__programs AS INT64)), 0)) / 
       COALESCE(SUM(CAST(Person AS INT64)), 0) AS calfresh_coenrollment_rate
FROM `cdii-poc.HHS_Program_Counts.calhhs-dashboard-2015-2020-annual-data-file`
WHERE (Level) = 'County'
  AND (Number) <> 'County Total'
  AND (Program) = 'CalFresh'
GROUP BY county
ORDER BY calfresh_coenrollment_rate DESC
LIMIT 1;
"
What about three or more additional programs?," 
SELECT
  Program,
  COALESCE(SUM(CAST(_3_programs AS INT64)), 0) AS three_more_programs
FROM `cdii-poc.HHS_Program_Counts.calhhs-dashboard-2015-2020-annual-data-file`
WHERE
  _3_programs > 0
GROUP BY
  Program
ORDER BY
  three_more_programs DESC;
"
Which programs have the highest co-enrollment with CalFresh?," 
SELECT
  Program,
  COALESCE(SUM(Person), 0) AS total_enrolled
FROM `cdii-poc.HHS_Program_Counts.calhhs-dashboard-2015-2020-annual-data-file`
WHERE
  Program <> 'CalFresh'
GROUP BY
  Program
ORDER BY
  total_enrolled DESC;
"
What county has the greatest enrollment in WIC per capita?," 
SELECT
  Vendor_Location,
  COALESCE(
    SUM(CAST(_Number_of_Participants_Redeemed_ AS INT64)),
    0
  ) AS total_participants
FROM `cdii-poc.HHS_Program_Counts.wic-redemption-by-county-by-participant-category-data-2010-2018`
GROUP BY
  Vendor_Location
ORDER BY
  total_participants DESC
LIMIT 1;
"
Which five counties have the lowest number of WIC authorized vendors compared to WIC participants?,SQL not generated
